Table ID,Table Title,Table Universe
B07410,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Population 15 years and over in the United States
B07410PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Population 15 years and over
B07411,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Population 15 years and over in the United States with income
B07411PR,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Population 15 years and over with income in the past 12 months
B07412,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Population 1 year and over in the United States for whom poverty status is determined
B07412PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Population 1 year and over for whom poverty status is determined
B07413,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Population 1 year and over in households in the United States
B07413PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Population 1 year and over in households
B08006,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,Workers 16 years and over
B08007,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,Workers 16 years and over
B08008,SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL,Workers 16 years and over
B08009,"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI)",Workers 16 years and over
B08011,SEX OF WORKERS BY TIME OF DEPARTURE TO GO TO WORK,Workers 16 years and over who did not work at home
B08012,SEX OF WORKERS BY TRAVEL TIME TO WORK,Workers 16 years and over who did not work at home
B08013,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY SEX,Workers 16 years and over who did not work at home
B08014,SEX OF WORKERS BY VEHICLES AVAILABLE,Workers 16 years and over in households
B08015,"AGGREGATE NUMBER OF VEHICLES (CAR, TRUCK, OR VAN) USED IN COMMUTING BY WORKERS 16 YEARS AND OVER BY SEX","Workers whose means of transportation is car, truck, or van"
B08016,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL,Workers 16 years and over living in a metropolitan statistical area
B08017,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--MICROPOLITAN STATISTICAL AREA LEVEL,Workers 16 years and over living in a micropolitan statistical area
B08018,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL,Workers 16 years and over not living in a metropolitan or micropolitan statistical area
B08101,MEANS OF TRANSPORTATION TO WORK BY AGE,Workers 16 years and over
B08103,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,Workers 16 years and over
B08105A,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),White alone workers 16 years and over
B08105B,MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone workers 16 years and over
B08105C,MEANS OF TRANSPORTATION TO WORK (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone workers 16 years and over
B08105D,MEANS OF TRANSPORTATION TO WORK (ASIAN ALONE),Asian alone workers 16 years and over
B08105E,MEANS OF TRANSPORTATION TO WORK (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and Other Pacific Islander alone workers 16 years and over
B08105F,MEANS OF TRANSPORTATION TO WORK (SOME OTHER RACE ALONE),Some other race alone workers 16 years and over
B08105G,MEANS OF TRANSPORTATION TO WORK (TWO OR MORE RACES),Two or more races workers 16 years and over
B08105H,"MEANS OF TRANSPORTATION TO WORK (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino workers 16 years and over"
B08105I,MEANS OF TRANSPORTATION TO WORK (HISPANIC OR LATINO),Hispanic or Latino workers 16 years and over
B08111,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS,Workers 16 years and over
B08113,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH,Workers 16 years and over
B08119,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),Workers 16 years and over with earnings
B08121,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY MEANS OF TRANSPORTATION TO WORK,Workers 16 years and over with earnings
B08122,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS,Workers 16 years and over for whom poverty status is determined
B08124,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION,Workers 16 years and over
B08126,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY,Workers 16 years and over
B08128,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER,Workers 16 years and over
B08130,MEANS OF TRANSPORTATION TO WORK BY PLACE OF WORK--STATE AND COUNTY LEVEL,Workers 16 years and over
B08131,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,Workers 16 years and over who did not work at home
B08132,MEANS OF TRANSPORTATION TO WORK BY TIME OF DEPARTURE TO GO TO WORK,Workers 16 years and over who did not work at home
B08133,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY TIME OF DEPARTURE TO GO TO WORK,Workers 16 years and over who did not work at home
B08134,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK,Workers 16 years and over who did not work at home
B08135,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY TRAVEL TIME TO WORK,Workers 16 years and over who did not work at home
B08136,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,Workers 16 years and over who did not work at home
B08137,MEANS OF TRANSPORTATION TO WORK BY TENURE,Workers 16 years and over in households
B08141,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE,Workers 16 years and over in households
B08201,HOUSEHOLD SIZE BY VEHICLES AVAILABLE,Households
B08202,HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD,Households
B08203,NUMBER OF WORKERS IN HOUSEHOLD BY VEHICLES AVAILABLE,Households
B08301,MEANS OF TRANSPORTATION TO WORK,Workers 16 years and over
B08302,TIME OF DEPARTURE TO GO TO WORK,Workers 16 years and over who did not work at home
B08303,TRAVEL TIME TO WORK,Workers 16 years and over who did not work at home
B08406,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B08412,SEX OF WORKERS BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over who did not work at home
B08501,MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B08503,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B08505A,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE),White alone workers 16 years and over
B08505B,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone workers 16 years and over
B08505C,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone workers 16 years and over
B08505D,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (ASIAN ALONE),Asian alone workers 16 years and over
B08505E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and Other Pacific Islander alone workers 16 years and over
B08505F,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (SOME OTHER RACE ALONE),Some other race alone workers 16 years and over
B08505G,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (TWO OR MORE RACES),Two or more races workers 16 years and over
B08505H,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino workers 16 years and over"
B08505I,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (HISPANIC OR LATINO),Hispanic or Latino workers 16 years and over
B08511,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B08513,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B08519,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR WORKPLACE GEOGRAPHY,Workers 16 years and over with earnings
B08521,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over with earnings
B08522,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS FOR WORKPLACE GEOGRAPHY,Workers 16 years and over for whom poverty status is determined
B08524,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B08526,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B08528,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B08532,MEANS OF TRANSPORTATION TO WORK BY TIME ARRIVING AT WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over who did not work at home
B08534,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over who did not work at home
B08536,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over who did not work at home
B08537,MEANS OF TRANSPORTATION TO WORK BY TENURE FOR WORKPLACE GEOGRAPHY,Workers 16 years and over in households
B08541,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE FOR WORKPLACE GEOGRAPHY,Workers 16 years and over in households
B08601,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B08602,TIME ARRIVING AT WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over who did not work at home
B08603,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,Workers 16 years and over who did not work at home
B08604,WORKER POPULATION FOR WORKPLACE GEOGRAPHY,Workers 16 years and over
B09001,POPULATION UNDER 18 YEARS BY AGE ,Population under 18 years
B09002,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,Own children under 18 years
B09005,"HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)","Population under 18 years in households (excluding householders, spouses, and unmarried partners)"
B09010,"RECEIPT OF SUPPLEMENTAL SECURITY INCOME (SSI), CASH PUBLIC ASSISTANCE INCOME, OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS",Population under 18 years in households
B09018,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,"Population under 18 years in households (excluding householders, spouses, and unmarried partners)"
B09019,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP ,Total population
B09020,RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER,Population 65 years and over
B09021,LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER BY AGE,Population 18 years and over in households
B10001,GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY AGE OF GRANDCHILD,Grandchildren under 18 living with grandparent householder
B10002,GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY GRANDPARENT RESPONSIBILITY AND PRESENCE OF PARENT ,Grandchildren under 18 living with grandparent householder
B10010,MEDIAN FAMILY INCOME FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN,Families With Grandparent Householders And/Or Spouses Living With Grandchildren
B10050,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY LENGTH OF TIME RESPONSIBLE FOR OWN GRANDCHILDREN FOR THE POPULATION 30 YEARS AND OVER ,Population 30 years and over
B10051,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY PRESENCE OF PARENT OF GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years in households
B10051A,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (WHITE ALONE),Grandparents (White alone) living with own grandchildren under 18 years
B10051B,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (BLACK OR AFRICAN AMERICAN ALONE),Grandparents (Black or African American alone) living with own grandchildren under 18 years
B10051C,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Grandparents (American Indian and Alaska Native alone) living with own grandchildren under 18 years
B10051D,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (ASIAN ALONE),Grandparents (Asian alone) living with own grandchildren under 18 years
B10051E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Grandparents (Native Hawaiian and Other Pacific Islander alone) living with own grandchildren under 18 years
B10051F,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (SOME OTHER RACE ALONE),Grandparents (Some other race alone) living with own grandchildren under 18 years
B10051G,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (TWO OR MORE RACES),Grandparents (Two or more races) living with own grandchildren under 18 years
B10051H,"GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (WHITE ALONE, NOT HISPANIC OR LATINO)","Grandparents (White alone, not Hispanic or Latino) living with own grandchildren under 18 years"
B10051I,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (HISPANIC OR LATINO),Grandparents (Hispanic or Latino) living with own grandchildren under 18 years
B10052,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Civilian grandparents living with own grandchildren under 18 years
B10053,NATIVITY BY GRANDPARENTS RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS BY AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years
B10054,LANGUAGE AND ABILITY TO SPEAK ENGLISH OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years
B10056,SEX OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years
B10057,MARITAL STATUS BY GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years
B10058,EMPLOYMENT STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years
B10059,POVERTY STATUS IN THE PAST 12 MONTHS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Grandparents living with own grandchildren under 18 years for whom poverty status is determined
B10063,HOUSEHOLDS WITH GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN,Households
B11001,HOUSEHOLD TYPE (INCLUDING LIVING ALONE),Households
B11001A,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE),Households with a householder who is White alone
B11001B,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),Households with a householder who is Black or African American alone
B11001C,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Households with a householder who is American Indian and Alaska Native alone
B11001D,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (ASIAN ALONE),Households with a householder who is Asian alone
B11001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Households with a householder who is Native Hawaiian and Other Pacific Islander alone
B11001F,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (SOME OTHER RACE ALONE),Households with a householder who is Some Other Race alone
B11001G,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (TWO OR MORE RACES),Households with a householder who is Two or More Races
B11001H,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE, NOT HISPANIC OR LATINO)","Households with a householder who is White alone, not Hispanic or Latino"
B11001I,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (HISPANIC OR LATINO),Households with a householder who is Hispanic or Latino
B11002,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS,Population in households
B11002A,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE),Population in households with a householder who is White alone
B11002B,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),Population in households with a householder who is Black or African American alone
B11002C,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Population in households with a householder who is American Indian and Alaska Native alone
B11002D,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE),Population in households with a householder who is Asian alone
B11002E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Population in households with a householder who is Native Hawaiian and Other Pacific Islander alone
B11002F,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (SOME OTHER RACE ALONE),Population in households with a householder who is Some Other Race alone
B11002G,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (TWO OR MORE RACES),Population in households with a householder who is Two or More Races
B11002H,"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE, NOT HISPANIC OR LATINO)","Population in households with a householder who is White alone, not Hispanic or Latino"
B11002I,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (HISPANIC OR LATINO),Population in households with a householder who is Hispanic or Latino
B11003,FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS ,Families
B11004,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Families
B11005,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,Households
B11006,HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE,Households
B11007,"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE",Households
B11008,COHABITING COUPLE HOUSEHOLDS BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS,Households
B11009,COUPLED HOUSEHOLDS BY TYPE,Households
B11010,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,Nonfamily households
B11011,HOUSEHOLD TYPE BY UNITS IN STRUCTURE,Households
B11012,HOUSEHOLDS BY TYPE,Households
B11013,SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Subfamilies
B11014,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE BY RELATIONSHIP,Population in subfamilies
B11015,HOUSEHOLDS BY PRESENCE OF NONRELATIVES,Households
B11016,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Households
B11017,MULTIGENERATIONAL HOUSEHOLDS,Households
B12001,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B12002,SEX BY MARITAL STATUS BY AGE FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B12002A,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE),White alone population 15 years and over
B12002B,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone population 15 years and over
B12002C,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone population 15 years and over
B12002D,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (ASIAN ALONE),Asian alone population 15 years and over
B12002E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and Other Pacific Islander alone population 15 years and over
B12002F,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (SOME OTHER RACE ALONE),Some other race alone population 15 years and over
B12002G,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (TWO OR MORE RACES),Two or more races population 15 years and over
B12002H,"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population 15 years and over"
B12002I,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (HISPANIC OR LATINO),Hispanic or Latino population 15 years and over
B12006,MARITAL STATUS BY SEX BY LABOR FORCE PARTICIPATION,Population 16 years and over
B12007,MEDIAN AGE AT FIRST MARRIAGE,Population 15 to 54 years
B12007A,MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE),White alone population 15 to 54 years
B12007B,MEDIAN AGE AT FIRST MARRIAGE (BLACK OR AFRICAN AMERICAN ALONE),Black or African American alone population 15 to 54 years
B12007C,MEDIAN AGE AT FIRST MARRIAGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),American Indian and Alaska Native alone population 15 to 54 years
B12007D,MEDIAN AGE AT FIRST MARRIAGE (ASIAN ALONE),Asian alone population 15 to 54 years
B12007E,MEDIAN AGE AT FIRST MARRIAGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Native Hawaiian and Other Pacific Islander alone population 15 to 54 years
B12007F,MEDIAN AGE AT FIRST MARRIAGE (SOME OTHER RACE ALONE),Some other race alone population 15 to 54 years
B12007G,MEDIAN AGE AT FIRST MARRIAGE (TWO OR MORE RACES),Two or more races population 15 to 54 years
B12007H,"MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population 15 to 54 years"
B12007I,MEDIAN AGE AT FIRST MARRIAGE (HISPANIC OR LATINO),Hispanic or Latino population 15 to 54 years
B12501,MARRIAGES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B12502,MARRIAGES ENDING IN WIDOWHOOD IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,Population 15 years and over
B12503,DIVORCES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B12504,MEDIAN DURATION OF CURRENT MARRIAGE IN YEARS BY SEX BY MARITAL STATUS FOR THE MARRIED POPULATION 15 YEARS AND OVER,Population 15 years and over who are now married or separated
B12505,NUMBER OF TIMES MARRIED BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Population 15 years and over
B13002,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE,Women 15 to 50 years
B13002A,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE),White alone women 15 to 50 years
